Region 82 Avg IOU: 0.338375, Class: 0.504925, Obj: 0.811784, No Obj: 0.616913, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.012431, Class: 0.748259, Obj: 0.466294, No Obj: 0.612947, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.639998, Class: 0.578617, Obj: 0.452005, No Obj: 0.621534, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.235521, Class: 0.418455, Obj: 0.781096, No Obj: 0.611998, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.452276, Class: 0.664185, Obj: 0.483927, No Obj: 0.621135, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.288275, Class: 0.365734, Obj: 0.339290, No Obj: 0.617134, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.157461, Class: 0.487070, Obj: 0.267114, No Obj: 0.612716, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.438257, Class: 0.608894, Obj: 0.555386, No Obj: 0.619108, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.260913, Class: 0.443127, Obj: 0.710081, No Obj: 0.615243, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.040398, Class: 0.181056, Obj: 0.437673, No Obj: 0.616555, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.800409, Class: 0.699812, Obj: 0.776925, No Obj: 0.617653, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.272866, Class: 0.868146, Obj: 0.507803, No Obj: 0.617155, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.452585, Class: 0.382461, Obj: 0.770516, No Obj: 0.617813, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.330557, Class: 0.608111, Obj: 0.413236, No Obj: 0.612836, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.114554, Class: 0.773675, Obj: 0.186164, No Obj: 0.615846, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.239034, Class: 0.589880, Obj: 0.583721, No Obj: 0.618285, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.251134, Class: 0.610324, Obj: 0.266047, No Obj: 0.619894, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.752593, Class: 0.733172, Obj: 0.813667, No Obj: 0.617052, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.564049, Class: 0.679901, Obj: 0.579935, No Obj: 0.615912, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.049759, Class: 0.314229, Obj: 0.905142, No Obj: 0.618985, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.182529, Class: 0.845369, Obj: 0.344800, No Obj: 0.618164, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.377744, Class: 0.886387, Obj: 0.292395, No Obj: 0.618028, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.056576, Class: 0.673433, Obj: 0.343424, No Obj: 0.613228, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.590659, Class: 0.370214, Obj: 0.170654, No Obj: 0.615315, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.191836, Class: 0.729142, Obj: 0.813328, No Obj: 0.617492, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.100079, Class: 0.445489, Obj: 0.469541, No Obj: 0.617957, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.170222, Class: 0.520181, Obj: 0.458878, No Obj: 0.616141, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.333795, Class: 0.547660, Obj: 0.658648, No Obj: 0.617118, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.443337, Class: 0.563472, Obj: 0.407542, No Obj: 0.610903, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.015426, Class: 0.531418, Obj: 0.312056, No Obj: 0.618375, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.367864, Class: 0.903284, Obj: 0.585779, No Obj: 0.615954, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.102586, Class: 0.510549, Obj: 0.564719, No Obj: 0.617319, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.132907, Class: 0.286033, Obj: 0.378131, No Obj: 0.612341, .5R: 0.000000, .75R: 0.000000,  count: 1
